t,onset,imported,domestic,total,imported_delay,domestic_delay
70,2020-03-13,26.12537590572609,51.92261070182314,78.04938740584862,26.12584480164169,51.923542604206936
71,2020-03-14,24.708564901135205,73.88882996250187,98.59939547965236,24.709066256680316,73.89032922297204
72,2020-03-15,20.588441655509556,100.17926951507319,120.77048536075752,20.588914598583543,100.18157076217457
73,2020-03-16,16.890613887412893,126.56459646374917,143.45894635446066,16.891053769582648,126.56789258487831
74,2020-03-17,14.797033014119899,153.5049726738565,168.30698214887386,14.79747054221639,153.50951160665747
75,2020-03-18,13.664434357958383,187.00169374673794,200.6728749031107,13.664893783696765,187.0079811194148
76,2020-03-19,12.52542718370613,230.9903040510249,243.52505546378384,12.525906782914955,230.9991486808686
77,2020-03-20,10.847173605839274,279.15706830879907,290.0169079639119,10.847647360410757,279.1692606035008
78,2020-03-21,8.80907786272794,322.847154643549,331.6727819847079,8.80951743126247,322.8632645534457
79,2020-03-22,6.856247139079068,365.57779319553543,372.45530870175253,6.856638674668071,365.5986700270848
80,2020-03-23,5.1572539658466345,414.61528209970544,419.8000174757854,5.157591597777585,414.6424258780082
81,2020-03-24,3.7573388210621137,464.4040307773237,468.19656908977163,3.757621322831918,464.43894776693975
82,2020-03-25,2.723040972346534,505.4436600810552,508.21066176995123,2.7232765384158775,505.487385231536
83,2020-03-26,2.0757214958963823,539.1253718319056,541.2550650591318,2.075928498957299,539.1791365601752
84,2020-03-27,1.7445198104478685,567.4280734863398,569.2381573805188,1.744720765034004,567.4934366154844
85,2020-03-28,1.5688723560073903,583.368212938401,585.015077419497,1.5690815403660385,583.445995879131
86,2020-03-29,1.3653203050731948,585.1994900206512,586.6555362406154,1.365531483670374,585.2900047569453
87,2020-03-30,1.0759535931128879,580.8005140148947,581.9811167494403,1.076147100886451,580.9049696485538
88,2020-03-31,0.8562124975651446,576.622046343042,577.5993257139929,0.8563920003748993,576.7429337136181
89,2020-04-01,0.9205526823818643,573.0497586441012,574.1109690915504,0.9207782739854299,573.1901908175647
